Graph,T_1 Value,T_1 Pot,T_1 Ratios,T_1 Time,T_1 Orientation,T_2 Value,T_2 Pot,T_2 Pot Ratios,T_2 Orientation,B_2 Value,B_2 Pot,B_2 Pot Ratios,TileTime,BondTime
E?rw,5,4,2,"['aB', 'AAB', 'bbbBB', 'b']","{'aB': [0, 1], 'AAB': [4], 'bbbBB': [5], 'b': [2, 3]}","[[[0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]], [[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0], [1, 1, 0, 0, 1, 0]]]",2,4,,,,TRUE,0.7959664,0.9326109
EFzW,5,3,2,"['abBB', 'Abb', 'AB']","{'abBB': [3, 4, 5], 'Abb': [0, 1], 'AB': [2]}","[[[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0], [0, 1, 0, 0, 0, 0]], [[0, 0, 0, 0, 1, 1], [0, 0, 0, 1, 1, 0], [0, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 1], [0, 0, 0, 1, 0, 0]]]",2,3,,,,TRUE,0.3592626,1.7313126
EFz_,5,3,2,"['aBB', 'ABB', 'bbB']","{'aBB': [2], 'ABB': [5], 'bbB': [0, 1, 3, 4]}","[[[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]], [[0, 0, 0, 0, 1, 1], [0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 0, 0], [1, 0, 1, 0, 0, 0], [0, 1, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0]]]",2,3,,,,TRUE,0.2002021,0.1355392
EFzo,5,3,2,"['aBBB', 'AbBB', 'bbB']","{'aBBB': [5], 'AbBB': [3], 'bbB': [0, 1, 2, 4]}","[[[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0]], [[0, 0, 0, 1, 0, 1], [0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 1, 1], [0, 0, 1, 0, 0, 0], [1, 1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]]]",2,3,,,,TRUE,0.2981727,1.4521347
EFzw,5,3,2,"['aBB', 'Abbb', 'AbbBB']","{'aBB': [0, 1, 2], 'Abbb': [3, 4], 'AbbBB': [5]}","[[[0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1], [0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]], [[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [1, 1, 0, 0, 0, 1], [0, 1, 1, 0, 0, 1], [1, 0, 1, 0, 0, 0]]]",2,3,,,,TRUE,0.2590666,4.5589131
EF~w,5,3,1,"['aaaAA', 'aaA', 'AAAAA']","{'aaaAA': [3, 4], 'aaA': [0, 1, 2], 'AAAAA': [5]}","[[[0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 1, 1], [0, 1, 1, 0, 0, 1], [1, 0, 0, 1, 0, 1], [0, 0, 0, 0, 0, 0]]]",1,3,,,,TRUE,0.1437801,3.20E-06
EQjO,5,4,2,"['ab', 'aB', 'AAb', 'AAB']","{'ab': [2, 3], 'aB': [1, 4], 'AAb': [5], 'AAB': [0]}","[[[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]], [[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 0], [0, 1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0]]]",2,4,,,,TRUE,1.6282706,0.0691244
EQj_,5,4,2,"['ab', 'aBB', 'AbB', 'A']","{'ab': [1, 4], 'aBB': [5], 'AbB': [0, 2], 'A': [3]}","[[[0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0]], [[0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0]]]",2,4,,,,TRUE,1.1212156,0.3695177
EQjg,5,4,2,"['aB', 'ABBB', 'bbB', 'b']","{'aB': [1], 'ABBB': [5], 'bbB': [0, 2, 4], 'b': [3]}","[[[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]], [[0, 0, 1, 0, 0, 1], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 1], [0, 1, 0, 0, 0, 0], [1, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0]]]",2,4,,,,TRUE,0.4587123,0.908343
EQjo,5,4,3,"['aC', 'ABBc', 'bBC', 'bc']","{'aC': [3], 'ABBc': [5], 'bBC': [0, 2], 'bc': [1, 4]}","[[[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]], [[0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]], [[0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0], [1, 0, 0, 0, 0, 0]]]",2,5,"['abBB', 'aB', 'AA', 'AbB', 'bbb']","{'abBB': [5], 'aB': [3, 4], 'AA': [1], 'AbB': [2], 'bbb': [0]}","[[[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0], [0, 1, 0, 0, 0, 0]], [[0, 0, 1, 0, 1, 1], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0]]]",FALSE,12.9608271,14.7533346
EQjw,5,4,2,"['aB', 'AB', 'bbbbb', 'bBB']","{'aB': [1], 'AB': [3], 'bbbbb': [5], 'bBB': [0, 2, 4]}","[[[0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]], [[0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0], [1, 1, 1, 1, 1, 0]]]",2,4,,,,TRUE,0.4379193,1.1713726
E?zO,5,4,2,"['aB', 'AAB', 'bbB', 'b']","{'aB': [0, 1], 'AAB': [4], 'bbB': [5], 'b': [2, 3]}","[[[0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]], [[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0], [1, 1, 0, 0, 0, 0]]]",2,4,,,,TRUE,1.0237958,0.2883727
EQyw,5,4,3,"['aC', 'AC', 'bcC', 'BccC']","{'aC': [1], 'AC': [3], 'bcC': [0, 2], 'BccC': [4, 5]}","[[[0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]], [[0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]], [[0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 0], [0, 0, 0, 1, 1, 0]]]",2,5,"['abBB', 'aB', 'AA', 'AbB', 'bbb']","{'abBB': [4, 5], 'aB': [1], 'AA': [3], 'AbB': [2], 'bbb': [0]}","[[[0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0], [0, 0, 0, 1, 0, 0]], [[0, 0, 1, 0, 1, 1], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0], [0, 0, 0, 0, 1, 0]]]",FALSE,10.8213569,13.8133786
EQzO,5,3,2,"['ab', 'aBB', 'AbB']","{'ab': [2, 3], 'aBB': [1], 'AbB': [0, 4, 5]}","[[[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 0], [1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]], [[0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 0], [0, 1, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0]]]",2,3,,,,TRUE,0.491521,0.3156559
EQzW,5,4,2,"['aB', 'ABB', 'bbbb', 'bbbB']","{'aB': [2, 3], 'ABB': [0, 1], 'bbbb': [5], 'bbbB': [4]}","[[[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]], [[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [1, 1, 1, 0, 0, 0], [1, 1, 0, 1, 1, 0]]]",2,4,,,,TRUE,0.4465956,1.1088528
EQzg,5,4,2,"['aBBB', 'AbBB', 'bbB', 'b']","{'aBBB': [5], 'AbBB': [4], 'bbB': [0, 1, 2], 'b': [3]}","[[[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 0]], [[0, 0, 1, 0, 0, 1], [0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 1, 1], [0, 1, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]]]",2,4,,,,TRUE,1.0534027,1.1955421
EQzo,5,3,2,"['aB', 'ABBB', 'bbB']","{'aB': [3], 'ABBB': [5], 'bbB': [0, 1, 2, 4]}","[[[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]], [[0, 0, 1, 0, 0, 1], [0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 0], [1, 1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]]]",2,3,,,,TRUE,0.1542145,1.2170554
EQzw,5,4,2,"['ab', 'aBBB', 'AAbBB', 'bbB']","{'ab': [3], 'aBBB': [4], 'AAbBB': [5], 'bbB': [0, 1, 2]}","[[[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0]], [[0, 0, 1, 0, 1, 0], [0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 1, 1], [0, 1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0]]]",2,4,,,,TRUE,1.7129415,3.6564669
EQ~o,5,3,2,"['abB', 'Abb', 'AbBB']","{'abB': [1, 2, 3], 'Abb': [0], 'AbBB': [4, 5]}","[[[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 0], [1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]], [[0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 1, 0], [0, 1, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0], [0, 0, 1, 0, 0, 0]]]",2,3,,,,TRUE,0.6896035,1.0969672
EQ~w,5,3,1,"['aaaAA', 'aaA', 'AAAAA']","{'aaaAA': [5], 'aaA': [0, 1, 2, 3], 'AAAAA': [4]}","[[[0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 1, 1], [1, 0, 0, 0, 1, 0], [0, 1, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0], [0, 0, 1, 1, 1, 0]]]",1,3,,,,TRUE,0.1577111,4.10E-06
ETno,5,4,2,"['abB', 'aBBB', 'a', 'AbbB']","{'abB': [4], 'aBBB': [3], 'a': [1], 'AbbB': [0, 2, 5]}","[[[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0], [1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]], [[0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0], [0, 0, 1, 1, 0, 0]]]",2,4,,,,TRUE,1.4707753,0.9986176
ETnw,5,4,2,"['aBBB', 'ABBBB', 'bbbB', 'b']","{'aBBB': [2], 'ABBBB': [5], 'bbbB': [0, 3, 4], 'b': [1]}","[[[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]], [[0, 0, 1, 1, 0, 1], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0], [0, 0, 1, 0, 1, 1], [1, 0, 1, 0, 0, 1], [0, 0, 0, 0, 0, 0]]]",2,4,,,,TRUE,1.2178457,1.5470158
E?zW,5,4,2,"['aB', 'a', 'AAAB', 'Abbb']","{'aB': [0, 1], 'a': [2, 3], 'AAAB': [5], 'Abbb': [4]}","[[[0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]], [[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [1, 1, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0]]]",2,4,,,,TRUE,0.8704698,0.3079596
ETzg,5,3,2,"['abBB', 'AAAB', 'bb']","{'abBB': [0, 2, 4], 'AAAB': [5], 'bb': [1, 3]}","[[[0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0]], [[0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 1, 1], [1, 0, 0, 0, 0, 0], [1, 0, 1, 0, 0, 0], [0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0]]]",2,3,,,,TRUE,0.5770953,0.4240943
ETzo,5,3,2,"['abBB', 'Abb', 'AB']","{'abBB': [0, 2, 5], 'Abb': [3, 4], 'AB': [1]}","[[[0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0]], [[0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1], [0, 0, 1, 0, 0, 1], [1, 1, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0]]]",2,3,,,,TRUE,0.3950461,1.8249372
ETzw,5,4,2,"['aBB', 'aB', 'AABBB', 'bbbB']","{'aBB': [3], 'aB': [1], 'AABBB': [5], 'bbbB': [0, 2, 4]}","[[[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]], [[0, 0, 1, 1, 0, 1], [0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 0, 0], [1, 1, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0]]]",2,4,,,,TRUE,0.8127788,4.0466455
ET~w,5,3,2,"['abBB', 'ab', 'AAbbB']","{'abBB': [0, 2, 3], 'ab': [1], 'AAbbB': [4, 5]}","[[[0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]], [[0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 1], [0, 0, 0, 1, 0, 0], [1, 0, 0, 0, 0, 0], [1, 0, 1, 0, 0, 0], [0, 0, 0, 1, 1, 0]]]",2,3,,,,TRUE,0.2273547,4.064718
EUZO,5,4,3,"['aC', 'AB', 'bCC', 'ccC']","{'aC': [2], 'AB': [4], 'bCC': [1], 'ccC': [0, 3, 5]}","[[[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]], [[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]], [[0, 0, 1, 0, 0, 1], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [1, 1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 1, 0, 1, 0, 0]]]",3,4,,,,TRUE,13.7544584,406.1867086
EUZ_,5,3,2,"['aB', 'AAB', 'bbB']","{'aB': [3, 4], 'AAB': [1], 'bbB': [0, 2, 5]}","[[[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]], [[0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 0]]]",2,3,,,,TRUE,0.2208086,0.3584941
EUZo,5,3,2,"['abB', 'AAAB', 'Ab']","{'abB': [0, 1, 2, 3], 'AAAB': [5], 'Ab': [4]}","[[[0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]], [[0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0]]]",2,3,,,,TRUE,0.3418599,1.3077155
EUZw,5,2,1,"['aaA', 'AAAAA']","{'aaA': [0, 1, 2, 3, 4], 'AAAAA': [5]}","[[[0, 0, 1, 0, 0, 1], [0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 1, 1], [1, 0, 0, 0, 0, 1], [0, 1, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0]]]",1,2,,,,TRUE,0.025544,3.60E-06
EUxo,5,3,2,"['aBB', 'ABB', 'bbB']","{'aBB': [3], 'ABB': [1], 'bbB': [0, 2, 4, 5]}","[[[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]], [[0, 0, 1, 1, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 0], [1, 1, 0, 0, 0, 0], [0, 1, 0, 1, 0, 0]]]",2,3,,,,TRUE,0.2047681,0.1403986
EUzW,5,4,2,"['abB', 'aBBB', 'AbbB', 'Ab']","{'abB': [1, 3], 'aBBB': [4], 'AbbB': [0, 5], 'Ab': [2]}","[[[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0]], [[0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 1, 0], [1, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 1, 0]]]",2,4,,,,TRUE,2.3030055,1.42704
